review_id,appid,lang,steam_language,eligible_target_buckets,precision_tiers,matched_keyword_families,text_len
103085583,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,60
103091056,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,197
103091179,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,74
103092037,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,172
103096855,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,380
103099608,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,87
103105620,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,1507
103108694,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,322
103115101,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,451
103131254,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,71
103132761,1517290,en,english,access_exclusion,broad,access_exclusion:broad:cannot launch,53
103172978,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,188
103189295,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,77
103216829,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,243
103223000,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux|access_exclusion:broad:Steam Deck|access_exclusion:broad:Proton,443
103225436,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,547
103234116,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,130
103235784,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux|access_exclusion:broad:Steam Deck,165
103236056,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,189
103239462,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,125
103240213,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,150
103247540,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,95
103248873,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,157
103249054,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,610
103252816,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,49
103253394,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,79
103268951,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,117
103279808,1517290,en,english,access_exclusion,broad,access_exclusion:broad:cannot launch,156
103280841,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,126
103289266,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,136
103292654,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,38
103306468,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,243
103310511,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,193
103316150,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,936
103316856,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,59
103317768,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,112
103330981,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,336
103368146,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,528
103389767,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,296
103485334,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,50
103561285,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,628
103561893,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,142
103812011,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,350
103825970,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS|access_exclusion:broad:motherboard,522
103950274,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,193
103978080,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,20
104038073,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,289
104159750,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,284
104273297,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,32
104432023,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,71
104445365,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,93
104556180,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,43
104636577,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,180
104649255,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,681
104649850,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,264
104652530,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,178
104782552,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,1327
104886793,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,48
105068570,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,117
105111180,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,52
105111246,1517290,en,english,access_exclusion,broad,access_exclusion:broad:kernel|access_exclusion:broad:BIOS,3398
105113936,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,221
105117837,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,39
105162707,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,318
105174276,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,1465
105189410,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,94
105189930,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,524
105239125,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,73
105249945,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,46
105333465,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,416
105446282,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,84
105477926,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Proton,817
105478198,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,188
105484422,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,218
105493140,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,19
105519709,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,42
105666924,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,205
105675871,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,73
105710558,1517290,en,english,access_exclusion,broad,access_exclusion:broad:cannot launch,413
105817315,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,139
105901379,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,277
105937641,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,37
105952491,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,35
105983240,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,1235
105990325,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,47
106010045,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,908
106020030,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,791
106022535,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,314
106047931,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,231
106053355,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,175
106058410,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,40
106072831,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,230
106081193,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,30
106085385,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,83
106101075,1517290,en,english,access_exclusion,broad|high,access_exclusion:high:secureboot required→can't play|access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,322
106127000,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,144
106153784,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,291
106171893,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,179
106190612,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux|access_exclusion:broad:Proton,210
106230312,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,207
106264621,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,482
106310202,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Proton,23
106454682,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,115
106685896,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,46
106825656,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,113
106840694,1517290,en,english,access_exclusion,broad,access_exclusion:broad:cannot launch,1671
106868969,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:motherboard,177
106950386,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,1504
107139523,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,426
107204910,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,189
107373199,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,220
107441729,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,87
107450984,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,892
107497380,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,164
107538086,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,141
107570797,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,82
107791054,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,876
107967153,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,631
108176124,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,305
108206323,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,130
108214231,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,364
108242210,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,309
108343513,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,45
108407293,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,109
108516456,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,85
108694478,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,215
108732537,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,107
108791755,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,57
108824916,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,18
109232805,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,276
109301093,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,350
109342110,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,135
109364419,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,169
109388382,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,37
109613352,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,19
109943645,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,81
110326001,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,33
110674857,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:motherboard,529
110797721,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,873
111031669,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,73
111048604,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,219
111644505,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,76
112721831,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,119
112880823,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,38
113452316,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,382
113477303,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,350
113875250,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,332
113950890,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,30
114466295,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,45
114760384,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,171
115853729,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,188
116301929,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,46
116592362,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,156
116721368,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,22
117055100,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,103
117125798,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,240
117557707,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,102
117712691,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,73
118082363,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,244
118144129,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,406
118159522,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,309
118429155,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,194
119100944,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,144
119398097,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,912
121499306,1517290,en,english,access_exclusion,broad|high,access_exclusion:high:secureboot required→can't play|access_exclusion:broad:Secure Boot,818
121510209,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,1247
121583583,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,205
122734595,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,534
122848610,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,119
123034473,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,459
123463240,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,130
123514926,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,116
123621330,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,241
124229722,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,381
124548314,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Steam Deck,84
124687851,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,58
126119996,1517290,en,english,access_exclusion,broad,access_exclusion:broad:TPM,1458
126729329,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,172
126861373,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,622
127104180,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,187
127482724,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,46
127768413,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,64
127784423,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux|access_exclusion:broad:Steam Deck,235
127815225,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,164
127889942,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,40
127928788,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,261
127934514,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,195
128015989,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,164
128025742,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Steam Deck,95
128030311,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,46
128116236,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,96
128133817,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,250
128311361,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,60
128328249,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,146
129113731,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,222
130087344,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,49
130655952,1517290,en,english,access_exclusion,broad,access_exclusion:broad:cannot launch,952
130727094,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,206
131808811,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,193
131822703,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,43
131950261,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,482
132176609,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,462
132192141,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,85
132721620,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,890
133096381,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,40
133149032,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,33
133201143,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,108
133617828,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,400
133848399,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,206
134438669,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,263
134520019,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,81
134694317,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Proton,41
134727026,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,110
134741504,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,137
134791382,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,187
135013822,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,355
135032605,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,854
135129361,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,104
135135462,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Steam Deck,35
135147552,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,524
135278864,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,268
135750729,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,373
135760071,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,474
135913541,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,43
136249464,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,259
136538185,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:Steam Deck,886
136541865,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,102
136779454,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Steam Deck,70
136918927,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,65
137403239,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,253
137903796,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,246
138073772,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,161
138392401,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,231
138747059,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Steam Deck,62
138774894,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,49
138799584,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,721
139123647,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,684
139219352,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,207
139328107,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,96
139557787,1517290,en,english,access_exclusion,broad,access_exclusion:broad:TPM,36
139766903,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,36
140064948,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,342
140630200,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,152
140632398,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,76
140719303,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,175
140953677,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,239
141026597,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Proton,23
141080778,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,43
141524834,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,418
142204271,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,155
142375569,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,114
142382044,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux|access_exclusion:broad:Steam Deck,882
142542310,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,113
142742155,1517290,en,english,access_exclusion,broad,access_exclusion:broad:cannot launch,781
143282431,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,88
143377336,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Steam Deck,44
145298164,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,57
145674351,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:motherboard,156
146249917,1517290,en,english,access_exclusion,broad,access_exclusion:broad:kernel,207
146564263,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,194
146672083,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,500
146975037,1517290,en,english,access_exclusion,broad,access_exclusion:broad:cannot launch,212
147177100,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:TPM|access_exclusion:broad:BIOS,165
147893565,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,83
147971897,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,192
147982713,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,283
148110502,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,541
148168318,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,66
148185613,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,21
148220509,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,19
148319228,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,56
148323731,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:Linux,468
148339797,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,202
148666314,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,23
148824842,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,101
148834368,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,92
148875361,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,68
148954147,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,1336
149210232,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,1358
149292108,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,126
149346651,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,130
149382334,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,91
149530763,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,78
149969183,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,958
150208999,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,249
151380145,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,944
151443097,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,70
151457759,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,83
152219348,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,213
152307271,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,49
152379197,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux|access_exclusion:broad:Proton,60
152605000,1517290,en,english,access_exclusion,broad,access_exclusion:broad:motherboard,1193
152616565,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,40
152640549,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,124
152882922,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,86
153088447,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,361
153824785,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,38
154247089,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,94
